"iid","nid","tid","parent_iid"
"823","708","1008",NULL
"824","852","1404",NULL
"825","41430","2341",NULL
"826","354","1149",NULL
"827","248","857",NULL
"828","114175","3301",NULL
"829","6690","226",NULL
"830","249","858",NULL
"831","1597","2542",NULL
"832","379","1261",NULL
"833","1549","2455",NULL
"834","1715","2812",NULL
"835","84","477",NULL
"836","4709","569",NULL
"837","955","1038",NULL
"838","1149","170",NULL
"839","424","839",NULL
"840","787","1680",NULL
"841","229","478",NULL
"842","69726","3290",NULL
"843","910","1104",NULL
"844","689","1335",NULL
"845","1090","2328",NULL
"846","44381","18",NULL
"847","1527","2425",NULL
"848","1644","2875",NULL
"849","1074","2361",NULL
"850","56501","1244",NULL
"851","1013","1123",NULL
"852","76031","3336",NULL
"853","990","1130",NULL
"854","250","859",NULL
"855","41603","227",NULL
"856","425","840",NULL
"857","4590","1339",NULL
"858","623","1012",NULL
"859","1059","2355",NULL
"860","1761","1775",NULL
"861","3218","361",NULL
"862","102153","3616",NULL
"863","1509","2442",NULL
"864","290","479",NULL
"865","1041","2331",NULL
"866","4708","570",NULL
"867","58003","778",NULL
"868","69727","3129",NULL
"869","101364","3674",NULL
"870","57402","779",NULL
"871","75341","3588",NULL
"872","1003","1143",NULL
"873","42010","2906",NULL
"874","1146","171",NULL
"875","1645","2874",NULL
"876","920","1106",NULL
"877","6750","480",NULL
"878","902","1107",NULL
"879","106818","3572",NULL
"880","5496","1487",NULL
"881","600","1407",NULL
"882","2797","379",NULL
"883","90302","697",NULL
"884","1343","698",NULL
"885","956","1039",NULL
"886","815","269",NULL
"887","91","483",NULL
"888","172","484",NULL
"889","493","1255",NULL
"890","1025","2748",NULL
"891","704","2977",NULL
"892","970","1052",NULL
"893","4728","585",NULL
"894","1440","1429",NULL
"895","97535","3609",NULL
"896","1208","172",NULL
"897","1252","700",NULL
"898","1261","701",NULL
"899","66328","1235",NULL
"900","4813","628",NULL
"901","5097","1192",NULL
"902","3239","2958",NULL
"903","1511","602",NULL
"904","297","486",NULL
"905","582","1408",NULL
"906","431","938",NULL
"907","3223","362",NULL
"908","97510","3189",NULL
"909","1551","2457",NULL
"910","126","487",NULL
"911","41594","230",NULL
"912","2799","380",NULL
"913","71041","1707",NULL
"914","1759","1773",NULL
"915","97404","3429",NULL
"916","102054","785",NULL
"917","634","1014",NULL
"918","251","860",NULL
"919","97384","3617",NULL
"920","1552","2458",NULL
"921","368","3147",NULL
"922","1512","603",NULL
"923","449","939",NULL
"924","57033","3251",NULL
"925","253","861",NULL
"926","130","488",NULL
"927","1521","2419",NULL
"928","41298","231",NULL
"929","100029","3694",NULL
"930","45908","232",NULL
"931","1646","1972",NULL
"932","1282","2981",NULL
"933","328","260",NULL
"934","1160","173",NULL
"935","101516","3657",NULL
"936","509","1206",NULL
"937","43967","31",NULL
"938","97286","3618",NULL
"939","1028","2865",NULL
"940","1528","2426",NULL
"941","5246","1361",NULL
"942","1193","174",NULL
"943","1421","29",NULL
"944","1010","1119",NULL
"945","1390","23",NULL
"946","3565","940",NULL
"947","87","489",NULL
"948","1273","705",NULL
"949","1741","1768",NULL
"950","92","490",NULL
"951","43954","491",NULL
"952","538","2314",NULL
"953","70654","14",NULL
"954","494","1214",NULL
"955","1514","2443",NULL
"956","100427","1040",NULL
"957","312","1249",NULL
"958","1443","1696",NULL
"959","1513","604",NULL
"960","2544","586",NULL
"961","861","1622",NULL
"962","1721","1761",NULL
"963","102263","2909",NULL
"964","239","492",NULL
"965","622","1353",NULL
"966","1322","706",NULL
"967","3181","381",NULL
"968","101","493",NULL
"969","66331","1225",NULL
"970","958","1041",NULL
"971","113649","3615",NULL
"972","454","3662",NULL
"973","97868","3337",NULL
"974","1147","177",NULL
"975","1391","40",NULL
"976","1396","7",NULL
"977","6302","235",NULL
"978","1148","176",NULL
"979","1325","786",NULL
"980","44386","2927",NULL
"981","938","1108",NULL
"982","1652","1996",NULL
"983","1647","2998",NULL
"984","1170","178",NULL
"985","47385","179",NULL
"986","3232","370",NULL
"987","539","2315",NULL
"988","100121","3645",NULL
"989","100447","3559",NULL
"990","709","1016",NULL
"991","57559","788",NULL
"1378","137704","4102",NULL
"993","1165","180",NULL
"994","131","496",NULL
"995","878","1602",NULL
"996","43770","2922",NULL
"997","785","1603",NULL
"998","386","982",NULL
"999","760","1642",NULL
"1000","944","1109",NULL
"1001","84889","2335",NULL
"1002","1342","707",NULL
"1003","846","1592",NULL
"1004","104235","2925",NULL
"1005","4666","1356",NULL
"1006","41604","236",NULL
"1007","1256","2609",NULL
"1008","41923","3667",NULL
"1009","1422","4",NULL
"1010","59856","3531",NULL
"1011","4604","587",NULL
"1012","1589","1281",NULL
"1013","3182","3685",NULL
"1014","540","3634",NULL
"1015","1119","1204",NULL
"1016","47838","1430",NULL
"1017","1692","498",NULL
"1018","59857","3563",NULL
"1019","1275","709",NULL
"1020","4729","588",NULL
"1021","280","499",NULL
"1022","1554","2460",NULL
"1023","1653","2924",NULL
"1024","1000","1138",NULL
"1025","94090","3160",NULL
"1026","95001","1231",NULL
"1027","671","500",NULL
"1028","5370","711",NULL
"1029","44595","1282",NULL
"1030","186","501",NULL
"1031","1298","712",NULL
"1032","66334","1191",NULL
"1033","801","320",NULL
"1034","1223","2570",NULL
"1035","60910","3197",NULL
"1036","1312","713",NULL
"1037","1317","714",NULL
"1038","66335","1213",NULL
"1039","4740","558",NULL
"1040","685","2574",NULL
"1041","100379","3571",NULL
"1042","109","967",NULL
"1043","941","2376",NULL
"1044","99922","3712",NULL
"1045","5117","2292",NULL
"1046","44880","3168",NULL
"1047","635","1018",NULL
"1048","1250","715",NULL
"1049","5259","716",NULL
"1050","644","1019",NULL
"1051","61970","2911",NULL
"1052","357","3532",NULL
"1053","1179","183",NULL
"1054","393","3402",NULL
"1055","272","504",NULL
"1056","56299","2766",NULL
"1057","1720","1760",NULL
"1058","645","1020",NULL
"1059","959","1042",NULL
"1060","555","2316",NULL
"1061","90957","3490",NULL
"1062","325","1158",NULL
"1063","65767","3106",NULL
"1064","218","288",NULL
"1065","44065","505",NULL
"1066","5494","1485",NULL
"1067","96412","3619",NULL
"1068","1280","718",NULL
"1069","71455","3031",NULL
"1070","666","2738",NULL
"1071","44269","1330",NULL
"1072","1580","1460",NULL
"1073","44385","3239",NULL
"1074","1161","2938",NULL
"1075","76375","3055",NULL
"1076","847","1593",NULL
"1077","97427","3595",NULL
"1078","366","279",NULL
"1079","1700","1748",NULL
"1080","230","507",NULL
"1081","626","1022",NULL
"1082","583","1409",NULL
"1083","313","1211",NULL
"1084","89337","793",NULL
"1085","887","1283",NULL
"1086","94092","3680",NULL
"1087","960","1043",NULL
"1088","1458","1722",NULL
"1089","45385","3483",NULL
"1090","1194","185",NULL
"1091","1034","2351",NULL
"1092","1228","1411",NULL
"1093","44267","2733",NULL
"1094","387","3042",NULL
"1095","5464","1179",NULL
"1096","57883","794",NULL
"1097","60896","1431",NULL
"1098","1072","2345",NULL
"1099","45082","2970",NULL
"1100","1295","719",NULL
"1101","314","1230",NULL
"1102","351","1181",NULL
"1103","119","2969",NULL
"1104","4745","559",NULL
"1105","41966","2913",NULL
"1106","457","943",NULL
"1107","929","3467",NULL
"1108","44565","3191",NULL
"1109","1719","2868",NULL
"1110","87513","3716",NULL
"1111","3224","363",NULL
"1112","860","1625",NULL
"1113","5284","722",NULL
"1114","41435","1414",NULL
"1115","85813","3448",NULL
"1116","47858","1700",NULL
"1117","828","334",NULL
"1118","49937","845",NULL
"1119","1195","187",NULL
"1120","44078","1661",NULL
"1121","621","3187",NULL
"1122","761","1644",NULL
"1123","3221","364",NULL
"1124","106389","3697",NULL
"1125","46289","3145",NULL
"1126","46776","1723",NULL
"1127","57570","3123",NULL
"1128","3238","371",NULL
"1129","132","510",NULL
"1130","1301","723",NULL
"1131","20536","3110",NULL
"1132","588","3248",NULL
"1133","1018","1146",NULL
"1134","636","1023",NULL
"1135","150","872",NULL
"1136","1571","2467",NULL
"1137","133","511",NULL
"1138","743","1635",NULL
"1139","1153","189",NULL
"1140","66364","3702",NULL
"1141","60634","3237",NULL
"1142","79776","1320",NULL
"1143","49350","2877",NULL
"1144","44081","1662",NULL
"1145","4768","632",NULL
"1146","60909","2360",NULL
"1147","367","280",NULL
"1148","57026","1432",NULL
"1149","882","3503",NULL
"1150","1257","725",NULL
"1151","1371","36",NULL
"1152","175","910",NULL
"1153","47844","1705",NULL
"1154","1429","1912",NULL
"1155","179","514",NULL
"1156","84165","3473",NULL
"1157","1660","1437",NULL
"1158","584","1418",NULL
"1159","4714","571",NULL
"1160","335","1187",NULL
"1161","66365","3564",NULL
"1162","1043","3158",NULL
"1163","295","515",NULL
"1164","57669","3365",NULL
"1165","281","516",NULL
"1166","4746","1523",NULL
"1167","1412","5",NULL
"1168","1264","726",NULL
"1169","1139","190",NULL
"1170","474","1241",NULL
"1171","817","270",NULL
"1172","825","335",NULL
"1173","851","1595",NULL
"1174","112","969",NULL
"1175","56502","2987",NULL
"1176","41607","2752",NULL
"1177","1316","727",NULL
"1178","41478","728",NULL
"1179","881","3693",NULL
"1180","3235","372",NULL
"1181","45903","238",NULL
"1182","984","1125",NULL
"1183","4715","572",NULL
"1184","46284","2380",NULL
"1185","97574","3519",NULL
"1186","43470","1026",NULL
"1187","752","2560",NULL
"1188","100175","2123",NULL
"1189","71428","2444",NULL
"1190","41612","239",NULL
"1191","843","1663",NULL
"1192","47269","3148",NULL
"1193","1441","1690",NULL
"1194","101506","3557",NULL
"1195","45898","240",NULL
"1196","2780","349",NULL
"1197","4035","2933",NULL
"1198","589","1419",NULL
"1199","753","1637",NULL
"1200","69732","1963",NULL
"1201","5096","1229",NULL
"1202","1684","1744",NULL
"1203","57232","801",NULL
"1204","60596","802",NULL
"1205","5498","644",NULL
"1206","2726","1770",NULL
"1207","1258","730",NULL
"1208","84225","3480",NULL
"1209","659","887",NULL
"1210","1226","2711",NULL
"1211","3155","384",NULL
"1212","1355","731",NULL
"1213","1529","2427",NULL
"1214","978","1058",NULL
"1215","1480","1714",NULL
"1216","762","1646",NULL
"1217","41602","241",NULL
"1218","546","2317",NULL
"1219","1196","192",NULL
"1220","97669","3601",NULL
"1221","1337","3002",NULL
"1222","703","2729",NULL
"1223","1011","1120",NULL
"1224","90446","3146",NULL
"1225","60666","254",NULL
"1226","971","1053",NULL
"1227","91378","3543",NULL
"1228","469","954",NULL
"1229","97418","3339",NULL
"1230","102","519",NULL
"1231","60588","3382",NULL
"1232","5258","3186",NULL
"1233","279","520",NULL
"1234","394","849",NULL
"1235","802","321",NULL
"1236","2786","350",NULL
"1237","158","873",NULL
"1238","1358","733",NULL
"1239","585","1421",NULL
"1240","101149","19",NULL
"1241","45893","243",NULL
"1242","5291","1297",NULL
"1243","41296","244",NULL
"1244","44266","1331",NULL
"1245","346","1155",NULL
"1246","43970","32",NULL
"1247","1224","2569",NULL
"1248","911","1111",NULL
"1249","97","523",NULL
"1250","1706","524",NULL
"1251","147","525",NULL
"1252","5491","646",NULL
"1253","44085","3546",NULL
"1254","4731","590",NULL
"1255","1588","1284",NULL
"1256","41619","247",NULL
"1257","1531","2429",NULL
"1258","640","1027",NULL
"1259","3236","373",NULL
"1260","66527","1188",NULL
"1261","324","262",NULL
"1262","4703","573",NULL
"1263","1598","1285",NULL
"1264","1444","1328",NULL
"1265","3190","2960",NULL
"1266","41599","248",NULL
"1267","819","338",NULL
"1268","1436","1686",NULL
"1269","754","1645",NULL
"1270","1679","1743",NULL
"1271","59570","1248",NULL
"1272","58897","803",NULL
"1273","223","304",NULL
"1274","1713","1754",NULL
"1275","57377","804",NULL
"1276","1210","2633",NULL
"1277","96411","3705",NULL
"1278","44125","2915",NULL
"1279","347","1223",NULL
"1280","1658","2371",NULL
"1281","1110","2744",NULL
"1282","1470","1712",NULL
"1283","811","271",NULL
"1284","100717","2721",NULL
"1285","1518","2447",NULL
"1286","639","1028",NULL
"1287","2724","351",NULL
"1288","3219","365",NULL
"1289","5462","1218",NULL
"1290","349","1152",NULL
"1291","1656","552",NULL
"1292","69397","3116",NULL
"1293","102053","3734",NULL
"1294","790","1666",NULL
"1295","5493","647",NULL
"1296","5455","1163",NULL
"1297","504","901",NULL
"1298","390","2226",NULL
"1299","1374","9",NULL
"1300","70905","1068",NULL
"1301","60528","253",NULL
"1302","291","530",NULL
"1303","918","1113",NULL
"1304","294","531",NULL
"1305","1697","532",NULL
"1306","1532","2430",NULL
"1307","267","533",NULL
"1308","772","1334",NULL
"1309","43187","1029",NULL
"1310","322","263",NULL
"1311","20530","2975",NULL
"1312","665","2736",NULL
"1313","4732","592",NULL
"1314","44314","1366",NULL
"1315","664","2725",NULL
"1316","660","889",NULL
"1317","628","1030",NULL
"1318","1698","534",NULL
"1319","57597","1290",NULL
"1320","72","536",NULL
"1321","41181","2917",NULL
"1322","69937","3318",NULL
"1323","1083","2366",NULL
"1324","1748","1771",NULL
"1325","1121","2353",NULL
"1326","1663","553",NULL
"1327","102147","3628",NULL
"1328","1596","1287",NULL
"1329","114135","3720",NULL
"1330","1716","1757",NULL
"1331","45896","250",NULL
"1332","60447","807",NULL
"1333","4819","637",NULL
"1334","1078","2374",NULL
"1335","60738","808",NULL
"1336","44613","2545",NULL
"1337","763","1647",NULL
"1338","1590","1288",NULL
"1339","94091","3280",NULL
"1340","848","1596",NULL
"1341","60616","809",NULL
"1342","1064","2373",NULL
"1343","44864","3446",NULL
"1344","5492","648",NULL
"1345","1180","193",NULL
"1346","5495","649",NULL
"1347","145","540",NULL
"1348","44086","2179",NULL
"1349","60848","3314",NULL
"1350","876","1614",NULL
"1351","57642","811",NULL
"1352","5129","3692",NULL
"1353","100419","3478",NULL
"1354","816","273",NULL
"1355","60647","3315",NULL
"1356","1254","734",NULL
"1357","123","970",NULL
"1358","41711","1032",NULL
"1359","133015","3921",NULL
"1360","120","440",NULL
"1361","136807","3917",NULL
"1362","1204","3920",NULL
"1363","123380","3971",NULL
"1364","2540","422",NULL
"1365","41927","423",NULL
"1366","133808","3916",NULL
"1367","44238","3093",NULL
"1368","136967","3822",NULL
"1369","136809","3764",NULL
"1370","48638","3603",NULL
"1371","121628","3765",NULL
"1372","5522","3844",NULL
"1373","44059","3098",NULL
"1374","0","2319","1373"
"1375","0","3699","1360"
"1376","1123","3556",NULL
"1377","0","3521","1376"
"1379","1377","3",NULL
"1380","133789","133",NULL
"1381","1206","159",NULL
"1382","1199","168",NULL
"1383","1161","184",NULL
"1384","4035","191",NULL
"1385","122399","264",NULL
"1386","113559","337",NULL
"1387","1609","542",NULL
"1388","1657","550",NULL
"1389","5149","677",NULL
"1390","67781","735",NULL
"1391","60766","744",NULL
"1392","6462","813",NULL
"1393","521","895",NULL
"1394","617","991",NULL
"1395","707","1001",NULL
"1396","976","1056",NULL
"1397","1640","1114",NULL
"1398","316","1148",NULL
"1399","57570","1202",NULL
"1400","1447","1289",NULL
"1401","1669","1307",NULL
"1402","62624","1312",NULL
"1403","1745","1316",NULL
"1404","605","1367",NULL
"1405","607","1392",NULL
"1406","559","1410",NULL
"1407","599","1413",NULL
"1408","64434","1562",NULL
"1409","41988","1562",NULL
"1410","855","1627",NULL
"1411","751","1633",NULL
"1412","834","1648",NULL
"1413","835","1649",NULL
"1414","780","1674",NULL
"1415","789","1682",NULL
"1416","44125","1683",NULL
"1417","1447","1699",NULL
"1418","1676","1740",NULL
"1419","1702","1750",NULL
"1420","1703","1751",NULL
"1421","1715","1756",NULL
"1422","1719","1759",NULL
"1423","44031","2158",NULL
"1424","1085","2326",NULL
"1425","1085","2544",NULL
"1426","856","2559",NULL
"1427","48342","2634",NULL
"1428","1223","2714",NULL
"1429","75260","2742",NULL
"1430","528","2746",NULL
"1431","549","2747",NULL
"1432","47253","2761",NULL
"1433","1745","2769",NULL
"1434","65450","2772",NULL
"1435","1676","2775",NULL
"1436","834","2881",NULL
"1437","1640","2894",NULL
"1438","880","2908",NULL
"1439","1436","2914",NULL
"1440","605","2923",NULL
"1441","48334","2976",NULL
"1442","4597","2989",NULL
"1443","1017","3080",NULL
"1444","363","3083",NULL
"1445","47646","3099",NULL
"1446","4650","3115",NULL
"1447","617","3121",NULL
"1448","626","3136",NULL
"1449","48134","3137",NULL
"1450","99220","3138",NULL
"1451","753","3157",NULL
"1608","150585","4075",NULL
"1453","88140","3199",NULL
"1454","88140","3203",NULL
"1455","48342","3210",NULL
"1456","42210","3303",NULL
"1457","67388","3308",NULL
"1458","129","3329",NULL
"1459","128990","3409",NULL
"1607","148693","2920",NULL
"1461","122397","3450",NULL
"1462","2542","3454",NULL
"1463","437","3455",NULL
"1464","437","3457",NULL
"1606","48865","3966",NULL
"1466","43268","3481",NULL
"1467","48290","3482",NULL
"1468","1493","3488",NULL
"1469","99919","3528",NULL
"1470","45034","3539",NULL
"1471","137645","3548",NULL
"1472","84918","3548",NULL
"1473","5202","3551",NULL
"1474","99919","3555",NULL
"1475","47645","3562",NULL
"1476","59855","3565",NULL
"1477","71077","3574",NULL
"1478","5198","3593",NULL
"1479","5151","3596",NULL
"1480","1155","3610",NULL
"1481","115982","3612",NULL
"1482","99922","3624",NULL
"1483","136513","3631",NULL
"1484","75819","3643",NULL
"1485","5020","3651",NULL
"1486","137321","3664",NULL
"1487","48781","3671",NULL
"1488","88821","3673",NULL
"1489","448","3687",NULL
"1490","102657","3704",NULL
"1491","43967","3708",NULL
"1492","131598","3742",NULL
"1493","121315","3743",NULL
"1494","110511","3745",NULL
"1495","110784","3746",NULL
"1496","48610","3748",NULL
"1497","100426","3750",NULL
"1498","694","3751",NULL
"1499","122395","3754",NULL
"1500","101364","3755",NULL
"1501","47967","3756",NULL
"1502","102128","3758",NULL
"1503","112062","3759",NULL
"1504","43240","3760",NULL
"1505","138165","3761",NULL
"1506","100546","3769",NULL
"1507","100028","3772",NULL
"1508","1192","3778",NULL
"1509","122609","3779",NULL
"1510","704","3780",NULL
"1511","57057","3781",NULL
"1512","128782","3785",NULL
"1513","70861","3786",NULL
"1514","1192","3787",NULL
"1515","133822","3793",NULL
"1516","130516","3795",NULL
"1517","124885","3802",NULL
"1518","136993","3804",NULL
"1519","44878","3810",NULL
"1520","135932","3813",NULL
"1521","1658","3815",NULL
"1522","137667","3817",NULL
"1523","102052","3831",NULL
"1524","43967","3839",NULL
"1525","137237","3848",NULL
"1526","130802","3857",NULL
"1527","955","3867",NULL
"1528","44145","3869",NULL
"1529","5152","3870",NULL
"1530","136904","3873",NULL
"1531","100635","3875",NULL
"1532","1309","3885",NULL
"1533","142256","3898",NULL
"1534","4651","3902",NULL
"1535","64341","3905",NULL
"1536","130924","3909",NULL
"1537","5186","3919",NULL
"1538","148399","3923",NULL
"1539","4698","3924",NULL
"1540","102657","3925",NULL
"1541","124075","3928",NULL
"1542","136950","3930",NULL
"1543","122791","3931",NULL
"1544","136889","3932",NULL
"1545","1043","3933",NULL
"1546","124075","3935",NULL
"1547","100141","3938",NULL
"1548","136951","3941",NULL
"1549","161","3942",NULL
"1550","133807","3943",NULL
"1551","135339","3947",NULL
"1552","60643","3950",NULL
"1553","60517","3952",NULL
"1554","47018","3953",NULL
"1555","60617","3955",NULL
"1556","41297","3956",NULL
"1557","136990","3961",NULL
"1558","89606","3962",NULL
"1559","136698","3974",NULL
"1560","122211","3976",NULL
"1561","61737","3988",NULL
"1562","135490","3992",NULL
"1563","136706","4004",NULL
"1564","138796","4006",NULL
"1565","140035","4011",NULL
"1566","70201","4016",NULL
"1567","138647","4023",NULL
"1568","60588","4025",NULL
"1569","147808","4026",NULL
"1570","4676","4033",NULL
"1571","138371","4036",NULL
"1572","44373","4038",NULL
"1573","138358","4043",NULL
"1574","657","4048",NULL
"1575","147386","4051",NULL
"1576","137054","4052",NULL
"1577","136309","4053",NULL
"1578","134059","4059",NULL
"1579","947","4064",NULL
"1580","147503","4067",NULL
"1581","146840","4068",NULL
"1582","138371","4069",NULL
"1583","136513","4071",NULL
"1584","100146","4073",NULL
"1585","41429","4075",NULL
"1586","5172","4077",NULL
"1587","103551","4082",NULL
"1588","5125","4083",NULL
"1589","650","4085",NULL
"1590","1056","4086",NULL
"1591","1056","4090",NULL
"1592","147805","4097",NULL
"1593","148162","4098",NULL
"1594","60619","4099",NULL
"1595","80455","4101",NULL
"1596","132996","4104",NULL
"1597","5190","4105",NULL
"1598","88648","4106",NULL
"1599","136969","4107",NULL
"1600","1633","4118",NULL
"1601","6021","289",NULL
"1602","1487","3486",NULL
"1603","139279","4042",NULL
"1604","144514","4070",NULL
"1605","134096","3904",NULL
"1609","155719","4100",NULL
